id,crop,region,parameter,threshold_min,threshold_max,interpretation,recommendation_text,fertilizer_type,rate_kg_per_hectare,source_reference,created_at,updated_at,is_deleted
rule-corn-ph-low,Corn,Northern Mindanao,ph,0,5.4,"Highly Acidic Soil","Apply agricultural lime (carbonate) at 2 to 3 tons per hectare. Work lime thoroughly into the top 15cm of soil at least 4 weeks before planting.",Agricultural Lime,2500,"DA-BSWM Soil Quality Guidelines for Corn Production",1700000000000,1700000000000,false
rule-corn-ph-optimal,Corn,Northern Mindanao,ph,5.5,7.0,"Optimal Soil pH","Soil acidity is optimal. Maintain current organic matter practices to stabilize pH.",None,0,"DA-BSWM Soil Quality Guidelines for Corn Production",1700000000000,1700000000000,false
rule-corn-n-low,Corn,Northern Mindanao,nitrogen,0,20,"Severe Nitrogen Deficiency","Apply 120 kg N/ha. Split application: 50% as basal during planting (Complete 14-14-14) and 50% as sidedress at 30 days after planting using Urea.",Urea (46-0-0),260,"Project SARAI Agronomic Guidelines for Corn",1700000000000,1700000000000,false
rule-corn-n-medium,Corn,Northern Mindanao,nitrogen,21,40,"Moderate Nitrogen Level","Apply 80 kg N/ha. Apply 40% basal and 60% sidedress during the active vegetative stage (V6-V8).",Urea (46-0-0),175,"Project SARAI Agronomic Guidelines for Corn",1700000000000,1700000000000,false
rule-corn-p-low,Corn,Northern Mindanao,phosphorus,0,6,"Phosphorus Deficient","Apply 60 kg P2O5/ha as basal. Phosphorus is critical for early root development and seedling establishment.",Solophos (0-20-0),300,"DA-BSWM FertRight Soil Diagnostic Manual",1700000000000,1700000000000,false
rule-corn-k-low,Corn,Northern Mindanao,potassium,0,60,"Potassium Deficient","Apply 60 kg K2O/ha. Apply 50% basal and 50% side-dress before tasseling. Potassium enhances drought tolerance and stalk strength.",Muriate of Potash (0-0-60),100,"DA-BSWM FertRight Soil Diagnostic Manual",1700000000000,1700000000000,false
rule-rice-ph-low,Rice,Northern Mindanao,ph,0,5.0,"Highly Acidic Soil","Apply agricultural lime at 1.5 to 2 tons per hectare during land preparation to increase nutrient availability.",Agricultural Lime,1500,"PhilRice Fertilizer Management Guidelines",1700000000000,1700000000000,false
rule-rice-ph-optimal,Rice,Northern Mindanao,ph,5.1,6.5,"Optimal Soil pH","No lime required. Maintain flooding cycle to naturalize pH levels.",None,0,"PhilRice Fertilizer Management Guidelines",1700000000000,1700000000000,false
rule-rice-n-low,Rice,Northern Mindanao,nitrogen,0,15,"Severe Nitrogen Deficiency","Apply 90 kg N/ha. Apply in three splits: basal, active tillering (21-25 DAT), and panicle initiation stage.",Urea (46-0-0),195,"PhilRice LCC Nitrogen Chart Recommendations",1700000000000,1700000000000,false
rule-rice-n-medium,Rice,Northern Mindanao,nitrogen,16,30,"Moderate Nitrogen Level","Apply 60 kg N/ha. Split application: 50% basal and 50% at panicle initiation.",Urea (46-0-0),130,"PhilRice LCC Nitrogen Chart Recommendations",1700000000000,1700000000000,false
rule-rice-p-low,Rice,Northern Mindanao,phosphorus,0,8,"Phosphorus Deficient","Apply 40 kg P2O5/ha as basal complete (14-14-14) or Solophos. Essential for early root growth and tillering.",Solophos (0-20-0),200,"PhilRice Soil Diagnostic Manual",1700000000000,1700000000000,false
rule-rice-k-low,Rice,Northern Mindanao,potassium,0,50,"Potassium Deficient","Apply 40 kg K2O/ha. Apply 50% basal and 50% at panicle initiation to prevent grain shattering and increase resistance to pests.",Muriate of Potash (0-0-60),67,"PhilRice Soil Diagnostic Manual",1700000000000,1700000000000,false
